en,es,vi,ar,de,hi,ja
otitis media,"formal: otitis media | informal: infección del oído medio, infección de oído, dolor de oído","formal: viêm tai giữa | informal: nhiễm trùng tai giữa, nhiễm trùng tai, đau tai","formal: التهاب الأذن الوسطى | informal: التهاب الأذن الوسطى, التهاب الأذن","formal: Mittelohrentzündung | informal: Mittelohrentzündung, Ohrenentzündung, Ohrenschmerzen","formal: मध्यकर्णशोथ | informal: मध्य कान का संक्रमण, कान का संक्रमण, कान में इन्फेक्षन","formal: 中耳炎 | informal: 中耳炎, 耳の感染症"
bronchiolitis,bronquiolitis,viêm tiểu phế quản,التهاب قصيبات,Bronchiolitis,सांस की नली में सूजन,細気管支炎
gastroenteritis,"formal: gastroenteritis | informal: gripe estomacal, gastro, bicho estomacal, gastroenteritis","formal: viêm dạ dày ruột | informal: cúm dạ dày, bệnh đường ruột, nhiễm trùng tiêu hóa, đau bụng tiêu chảy","formal: التهاب المعدة والأمعاء | informal: أنفلونزا المعدة, التهاب الأمعاء, نزلة معوية, نزلات البرد في المعدة","formal: Magen-Darm-Grippe (Gastroenteritis) | informal: Magen-Darm-Grippe, Magen-Darm-Infekt, Magen-Darm","formal: गैस्ट्रोएंटेराइटिस | informal: पेट का फ्लू, पेट की खराबी, पेट में इन्फेक्शन, पेट फ्लू","formal: 胃腸炎 | informal: お腹의風邪, 胃腸炎, お腹の虫, 胃腸風邪"
croup,crup,bệnh viêm thanh khí phế quản,الخناق,Krupp-Husten (Pseudokrupp),क्रुप,クループ
a guide to menopause,una guía para la menopausia,Hướng dẫn về thời kỳ mãn kinh,دليل سن اليأس,Ein Leitfaden zur Menopause,रजोनिवृत्ति के लिए एक मार्गदर्शिका,更年期ガイド
abdominal aortic aneurysm,aneurisma aórtico abdominal,chứng phình động mạch chủ bụng,تمدد الأوعية الدموية الأبهري,Bauchaortenaneurysma,पेट की महाधमनी में फैलाव,腹部大動脈瘤
abdominal hysterectomy,histerectomía abdominal,cắt bỏ tử cung qua đường bụng,استئصال الرحم عن طريق البطن,abdominale Hysterektomie,पेट की हिस्टेरेक्टॉमी,腹式子宮摘出術
abdominal pain,dolor abdominal,đau bụng,ألم في البطن,Bauchschmerzen,पेट में दर्द,腹痛
abdominal pain in children,dolor abdominal en niños,đau bụng ở trẻ em,ألم البطن عند الأطفال,Bauchschmerzen bei Kindern,बच्चों में पेट दर्द,小児の腹痛
abdominal surgery for crohn's disease,Cirugía abdominal para la enfermedad de Crohn,phẫu thuật ổ bụng điều trị bệnh Crohn,جراحة البطن لعلاج داء كرون,Bauchoperation bei Morbus Crohn,क्रोहन रोग के लिए पेट की सर्जरी,クローン病に対する腹部手術
abdominoplasty,abdominoplastia,phẫu thuật tạo hình bụng,عملية تجميل البطن,Bauchdeckenstraffung,एब्डोमिनोप्लास्टी,腹部形成術
aboriginal and torres strait islander health,salud de los aborígenes y los isleños del Estrecho de Torres,sức khỏe của người bản địa và cư dân đảo Torres Strait,صحة السكان الأصليين وسكان جزر مضيق توريس,Gesundheit der Aborigines und der Torres-Strait-Insulaner,आदिवासी और टोरेस स्ट्रेट द्वीपवासियों का स्वास्थ्य,アボリジニおよびトレス海峡諸島民の健康
aboriginal and torres strait people social and emotional wellbeing,bienestar social y emocional de los pueblos aborígenes y del estrecho de Torres,phúc lợi xã hội và cảm xúc của người bản địa và người dân eo biển Torres,الرفاه الاجتماعي والعاطفي للسكان الأصليين وسكان جزر مضيق توريس,Soziales und emotionales Wohlbefinden der Aborigines und der Torres-Strait-Bevölkerung,आदिवासी और टोरेस स्ट्रेट के लोगों का सामाजिक और भावनात्मक कल्याण,アボリジニとトレス海峡諸島民の社会的および感情的な幸福
abortion,aborto provocado,phá thai,إجهاض,Abtreibung,गर्भपात,中絶
abscess incision and drainage,Incisión y drenaje del absceso,rạch và dẫn lưu ổ áp xe,شق الخراج وتصريفه,Abszessinzision und -drainage,फोड़े का चीरा लगाकर जल निकासी,膿瘍の切開と排膿
abscesses,abscesos,áp xe,الخراجات,Abszesse,फोड़े,膿瘍
absence seizures,crisis de ausencia,cơn động kinh vắng mặt,نوبات الغياب,Absencen,अनुपस्थिति दौरे,欠神発作
absent periods,períodos ausentes,vắng mặt,انقطاع الدورة الشهرية,Fehlzeiten,अनुपस्थित अवधि,欠席期間
accidentally eating unsafe foods,comer accidentalmente alimentos no seguros,vô tình ăn phải thực phẩm không an toàn,تناول أطعمة غير آمنة عن طريق الخطأ,versehentliches Essen unsicherer Lebensmittel,अनजाने में असुरक्षित खाद्य पदार्थों का सेवन करना,誤って安全でない食品を食べてしまう
accidents,accidentes,tai nạn,الحوادث,Unfälle,दुर्घटनाओं,事故
accommodation support,apoyo para el alojamiento,hỗ trợ chỗ ở,دعم الإقامة,Unterstützung bei der Unterkunftssuche,आवास सहायता,宿泊支援
achalasia,acalasia,chứng co thắt tâm vị,تعذر الارتخاء,Achalasie,अचलासिया,アカラシア
aches and pains,achaques,đau nhức,آلام وأوجاع,Schmerzen und Beschwerden,दर्द एवं पीड़ा,痛みや不快感
achilles tendon,tendón de Aquiles,gân Achilles,وتر أخيل,Achillessehne,अकिलीज़ टेंडन,アキレス腱
haematologists,hematólogos,các nhà huyết học,أطباء أمراض الدم,Hämatologen,हेमेटोलॉजिस्ट,血液専門医
haematuria,formal: hematuria | informal: sangre en la orina,"formal: tiểu máu | informal: máu trong nước tiểu, có máu trong nước tiểu","formal: بيلة دموية | informal: دم في البول, وجود دم في البول",formal: Hämaturie | informal: Blut im Urin,formal: रक्तमूत्रता | informal: पेशाब में खून आना,formal: 血尿 | informal: 尿に血が混じる
g6pd deficiency,deficiencia de g6pd,thiếu hụt g6pd,نقص إنزيم G6PD,G6PD-Mangel,जी6पीडी की कमी,G6PD欠損症
gad,Dios,gad,يا إلهي,gad,घूमना-फिरना,ガド
extreme fire flame,fiebre,sốt,لهيب ناري شديد,Fieber,अत्यधिक आग की लपट,極めて激しい炎
ear pain,dolor de oído,đau tai,ألم في الأذن,Ohrenschmerzen,कान में दर्द,耳の痛み
paracetamol,paracetamol,paracetamol,باراسيتامول,Paracetamol,पैरासिटामोल,パラセタモール
