id,name,long_description,activity_type_id,business_unit_id,created_by_id,is_public,slug,is_disabled,is_system,handlers,value_description,short_description,is_allowed_to_delete,allow_repeat_activity,is_batchable
1,Move Animal to Group,Group membership changed from {{from_group_name.value|default:"no group"}} to {{to_group_name.value|default:"no group"}},2,,1,false,move-animal-to-group,false,true,{},,Assigned to {{to_group_name}} group,false,false,true
3,Move OFF-Farm,Animal was moved from {{	from_business_unit_name}} to {{to_business_unit_name}},2,,1,false,move-off-farm,false,false,{blockchain-move-off-farm--movement move-off-farm-regulatory-transaction--movement mark-off-farm--movement move-off-farm--movement},{% if to_business_unit_name is not none and to_business_unit_name != "" %}Destination: {{to_business_unit_name}}{% endif %},Animal Movement,false,false,true
6,Log Death,Death recorded. Reason: {{death_reason.value|default:"no reason recorded"}}. Destination: {% if destination_name.value %}{{ destination_name.value }}  {% endif %}{{ destination_address.value }}{% if destination_postcode.value %}  {{ destination_postcode.value }}{% endif %}.,6,,1,false,death,false,false,{blockchain-mark-as-dead--birth-death log-death-regulatory-transaction--birth-death mark-as-dead--birth-death},,Died,false,false,false
7,Log Birth,Animal was born to DAM: {{birth_dam_passport_number}};Sire:{{birth_sire_animal.value|sire_passport_number_and_name}},6,,1,true,birth,true,true,{log-birth-dam-gave-birth--birth-death log-birth-regulatory-transaction--birth-death birthing--birth-death},,Born,false,false,true
8,Live Weight,A live weight of {{live_weight}} {{live_weight.units}} was recorded,3,,1,true,live-weight,false,false,{blockchain-log-weight--performance add-animal-weight--performance},{{live_weight}} {{live_weight.units}},Weighed,true,false,true
12,Generic Vet Med,{{dosage}} {{dosage.units}} {{name|capfirst}} was administered from batch {{batch_number}} with a withdrawal of {{withdrawal}} {{withdrawal.units}}. Reason: {{reason.value|default:"no reason logged"}}. Note: {{notes.value|default:"no note logged"}},1,,1,true,generic-vet-med,false,false,{withdrawal--vaccination},{{dosage}} {{dosage.units}},{{name|capfirst}},true,true,true
13,Castration,Animal was castrated by: {{method.value|default:"no method logged"}} Note: {{note.value|default:"no note logged"}},9,,1,true,castration,false,false,{castration--treatments},,Castrated,true,false,true
18,Carcass Sale,Buyer: {{buyer|capfirst}}  Value: {{value.units}} {{value}}. Weight: {{carcass_cold_weight}} {{carcass_cold_weight.units}}   Grading: {{conformation}}{{fat_class}},5,,1,false,carcass-sale,false,false,{blockchain-carcass-grading--financial carcass-grading--financial},{{conformation}}{{fat_class}},Carcass Sale,false,false,true
24,Abort / Still Birth,Pregnancy terminated or still born. Reason: {{reason.value|default:"no reason recorded"}},4,,1,false,abort-still-birth,false,false,{abort-still-birth--breeding},,Still birth,true,false,true
34,Move animal to field,{% if from_field_id.value %}Animal was moved from {{from_field_name}} to {{to_field_name}}{% else %}Animal was moved to {{to_field_name}}{% endif %},2,,14,false,move-animal-to-field,false,true,{move-to-field-regulatory-transaction--movement},,Moved to {{to_field_name}},false,false,true
47,Historical movement,{% if departure_property_id.value and destination_property_id.value %}Move from "{{departure_property_id}}" to "{{destination_property_id}}".{% elif departure_property_id.value %}Move off "{{departure_property_id}}".{% else %}Move on "{{destination_property_id}}".{% endif %},2,,,true,historical-movement,false,true,{},,Moved,false,false,true
61,Administer from cabinet,{{dosage}} {{dosage_units}} administered from batch {{batch_number}} to {{animal.passport_number}}. Withdrawal: {{withdrawal}} {{withdrawal.units}}. Reason: {{reason.value|default:"no reason logged"}}.Note: {{notes.value|default:"no note logged"}},1,,1,true,vaccination,false,false,{administer_medicine--vaccination blockchain-med-vet--vaccination withdrawal--vaccination},{{dosage}} {{dosage_units}},{{medicine_name}},true,true,true
85,TB Test,TB tested by {{vet_used.value}} and the result was {{result}}. Comments: {{comments.value | default:"no comments recorded"}},1,,920,false,tb-test,false,false,{},{{result}},Tested for TB,true,false,true
90,Gave Birth,Gave birth to {{gender.value|upper}}: {{offspring_passport_number}},4,,,true,gave-birth,false,true,{dam-has-given-birth--breeding abort-still-birth--breeding},,Gave birth,false,false,true
95,Integrated Scheme,Integrated scheme: {{integrated_scheme.value}},5,,,false,integrated-scheme,false,false,{},,{{integrated_scheme.value}},true,false,true
