en,es,vi,de,ar,ja,hi
otitis media,otitis media,viêm tai giữa,Mittelohrentzündung,التهاب الأذن الوسطى,中耳炎,मध्यकर्णशोथ
middle ear infection,infección del oído medio,nhiễm trùng tai giữa,Mittelohrentzündung,التهاب الأذن الوسطى,中耳炎,मध्य कान का संक्रमण
ear infection,infección de oído,nhiễm trùng tai,Ohrenentzündung,التهاب الأذن,耳の感染症,कान का संक्रमण
bronchiolitis,bronquiolitis,viêm tiểu phế quản,Bronchiolitis,التهاب قصيبات,細気管支炎,सांस की नली में सूजन
gastroenteritis,gastroenteritis,viêm dạ dày ruột,Magen-Darm-Grippe (Gastroenteritis),التهاب المعدة والأمعاء,胃腸炎,गैस्ट्रोएंटेराइटिस
stomach flu,gripe estomacal,cúm dạ dày,Magen-Darm-Grippe,أنفلونزا المعدة,お腹의風邪,पेट का फ्लू
gastro,gastro,bệnh đường ruột,Magen-Darm-Infekt,التهاب الأمعاء,胃腸炎,पेट की खराबी
stomach bug,bicho estomacal,nhiễm trùng tiêu hóa,Magen-Darm,نزلة معوية,お腹の虫,पेट में इन्फेक्शन
croup,crup,bệnh viêm thanh khí phế quản,Krupp-Husten (Pseudokrupp),الخناق,クループ,क्रुप
a guide to menopause,una guía para la menopausia,Hướng dẫn về thời kỳ mãn kinh,Ein Leitfaden zur Menopause,دليل سن اليأس,更年期ガイド,रजोनिवृत्ति के लिए एक मार्गदर्शिका
abdominal aortic aneurysm,aneurisma aórtico abdominal,chứng phình động mạch chủ bụng,Bauchaortenaneurysma,تمدد الأوعية الدموية الأبهري,腹部大動脈瘤,पेट की महाधमनी में फैलाव
abdominal hysterectomy,histerectomía abdominal,cắt bỏ tử cung qua đường bụng,abdominale Hysterektomie,استئصال الرحم عن طريق البطن,腹式子宮摘出術,पेट की हिस्टेरेक्टॉमी
abdominal pain,dolor abdominal,đau bụng,Bauchschmerzen,ألم في البطن,腹痛,पेट में दर्द
abdominal pain in children,dolor abdominal en niños,đau bụng ở trẻ em,Bauchschmerzen bei Kindern,ألم البطن عند الأطفال,小児の腹痛,बच्चों में पेट दर्द
abdominal surgery for crohn's disease,Cirugía abdominal para la enfermedad de Crohn,phẫu thuật ổ bụng điều trị bệnh Crohn,Bauchoperation bei Morbus Crohn,جراحة البطن لعلاج داء كرون,クローン病に対する腹部手術,क्रोहन रोग के लिए पेट की सर्जरी
abdominoplasty,abdominoplastia,phẫu thuật tạo hình bụng,Bauchdeckenstraffung,عملية تجميل البطن,腹部形成術,एब्डोमिनोप्लास्टी
aboriginal and torres strait islander health,salud de los aborígenes y los isleños del Estrecho de Torres,sức khỏe của người bản địa và cư dân đảo Torres Strait,Gesundheit der Aborigines und der Torres-Strait-Insulaner,صحة السكان الأصليين وسكان جزر مضيق توريس,アボリジニおよびトレス海峡諸島民の健康,आदिवासी और टोरेस स्ट्रेट द्वीपवासियों का स्वास्थ्य
aboriginal and torres strait people social and emotional wellbeing,bienestar social y emocional de los pueblos aborígenes y del estrecho de Torres,phúc lợi xã hội và cảm xúc của người bản địa và người dân eo biển Torres,Soziales und emotionales Wohlbefinden der Aborigines und der Torres-Strait-Bevölkerung,الرفاه الاجتماعي والعاطفي للسكان الأصليين وسكان جزر مضيق توريس,アボリジニとトレス海峡諸島民の社会的および感情的な幸福,आदिवासी और टोरेस स्ट्रेट के लोगों का सामाजिक और भावनात्मक कल्याण
abortion,aborto provocado,phá thai,Abtreibung,إجهاض,中絶,गर्भपात
abscess incision and drainage,Incisión y drenaje del absceso,rạch và dẫn lưu ổ áp xe,Abszessinzision und -drainage,شق الخراج وتصريفه,膿瘍の切開と排膿,फोड़े का चीरा लगाकर जल निकासी
abscesses,abscesos,áp xe,Abszesse,الخراجات,膿瘍,फोड़े
absence seizures,crisis de ausencia,cơn động kinh vắng mặt,Absencen,نوبات الغياب,欠神発作,अनुपस्थिति दौरे
absent periods,períodos ausentes,vắng mặt,Fehlzeiten,انقطاع الدورة الشهرية,欠席期間,अनुपस्थित अवधि
accidentally eating unsafe foods,comer accidentalmente alimentos no seguros,vô tình ăn phải thực phẩm không an toàn,versehentliches Essen unsicherer Lebensmittel,تناول أطعمة غير آمنة عن طريق الخطأ,誤って安全でない食品を食べてしまう,अनजाने में असुरक्षित खाद्य पदार्थों का सेवन करना
accidents,accidentes,tai nạn,Unfälle,الحوادث,事故,दुर्घटनाओं
accommodation support,apoyo para el alojamiento,hỗ trợ chỗ ở,Unterstützung bei der Unterkunftssuche,دعم الإقامة,宿泊支援,आवास सहायता
achalasia,acalasia,chứng co thắt tâm vị,Achalasie,تعذر الارتخاء,アカラシア,अचलासिया
aches and pains,achaques,đau nhức,Schmerzen und Beschwerden,آلام وأوجاع,痛みや不快感,दर्द एवं पीड़ा
achilles tendon,tendón de Aquiles,gân Achilles,Achillessehne,وتر أخيل,アキレス腱,अकिलीज़ टेंडन
haematologists,hematólogos,các nhà huyết học,Hämatologen,أطباء أمراض الدم,血液専門医,हेमेटोलॉजिस्ट
haematuria,hematuria,tiểu máu,Hämaturie,بيلة دموية,血尿,रक्तमूत्रता
blood in urine,sangre en la orina,máu trong nước tiểu,Blut im Urin,دم في البول,尿に血が混じる,पेशाब में खून आना
g6pd deficiency,deficiencia de g6pd,thiếu hụt g6pd,G6PD-Mangel,نقص إنزيم G6PD,G6PD欠損症,जी6पीडी की कमी
gad,Dios,gad,gad,يا إلهي,ガド,घूमना-फिरना
extreme fire flame,fiebre,sốt,Fieber,لهيب ناري شديد,極めて激しい炎,अत्यधिक आग की लपट
ear pain,dolor de oído,đau tai,Ohrenschmerzen,ألم في الأذن,耳の痛み,कान में दर्द
paracetamol,paracetamol,paracetamol,Paracetamol,باراسيتامول,パラセタモール,पैरासिटामोल
emergency department,departamento de emergencias,khoa cấp cứu,Notaufnahme,قسم الطوارئ,救急外来,इमरजेंसी डिपार्टमेंट
acl reconstruction,reconstrucción del ligamento cruzado anterior,tái tạo dây chằng chéo trước,Kreuzbandrekonstruktion,إعادة بناء الرباط الصليبي الأمامي,ACL再建術,एसीएल पुनर्निर्माण
acne,acné,mụn trứng cá,Akne,حَبُّ الشّبَاب,ニキビ,मुंहासा
acne treatments,tratamientos para el acné,điều trị mụn trứng cá,Aknebehandlungen,علاجات حب الشباب,ニキビ治療,मुँहासे के उपचार
acoustic neuroma,neuroma acústico,u thần kinh thính giác,Akustikusneurinom,ورم العصب السمعي,聴神経腫瘍,ध्वनिक न्यूरोमा
acquired brain injury,lesión cerebral adquirida,chấn thương não mắc phải,erworbene Hirnschädigung,إصابة دماغية مكتسبة,後天性脳損傷,मस्तिष्क की चोट
acromegaly,acromegalia,bệnh to đầu chi,Akromegalie,ضخامة الأطراف,先端巨大症,एक्रोमिगेली
