# HealthDirect Simultaneous Translation Cost Calculator,,,,
## SECTION 1: GLOBAL PARAMETERS,,,,
Parameter,Value,Description,,
AUD_USD_Exchange_Rate,1.515,Indicative exchange rate (1 USD = 1.515 AUD),,
Average_Session_Duration_Minutes,20,Adjustable production clinical session length in minutes,,
Weekly_Session_Volume,1000,Adjustable volume parameter (number of sessions per week),,
,,,,
## SECTION 2: MODEL UNIT RATES (USD),,,,
Service/Item,gemini-3.5-live-translate-preview,gemini-3.1-flash,gemini-2.5-flash,Unit
Audio Input,0.00000300,0.00000300,0.00000300,per token ($3.00 per 1M)
Audio Output,0.00001200,0.00001200,0.00001200,per token ($12.00 per 1M)
Text Input,0.00000075,0.00000075,0.000000075,per token ($0.75/$0.075 per 1M)
Text Output,0.00000450,0.00000450,0.000000300,per token ($4.50/$0.30 per 1M)
Cached Read,0.00000015,0.00000015,0.000000015,per token ($0.15/$0.015 per 1M)
Cache Storage,0.00000100,0.00000100,0.000000100,per token ($1.00/$0.10 per 1M)
,,,,
## SECTION 3: EMPIRICAL BASES & FORMULAS (PER SESSION),,,,
Metric/Calculation,Approach A: Native 3.5,Approach B: 3.1 Flash Prompt-driven,Approach C: 2.5 Flash Prompt-driven,Formula Description
Prompt Cache Read Size (Tokens),1000,3000,3000,Static instructions + glossary context
Prompt Cache Read Cost (USD),=B19*B14,=C19*C14,=D19*D14,Tokens * Cache Read Rate
Audio Input Tokens per Session,=2*$B$5*60*250,=2*$B$5*60*250,=2*$B$5*60*250,2 connections * Duration in seconds * 250 tokens/sec
Audio Input Cost (USD),=B21*B10,=C21*C10,=D21*D10,Tokens * Audio Input Rate
Spoken Dialogue Word Count (Est.),=$B$5*200,=$B$5*200,=$B$5*200,Estimated transcript words (200 words/min average)
Audio Output Pacing Duration (Sec),=(B23/2.5),=(C23/2.5)*1.125,=(D23/2.5)*1.125,150 words/min spoken rate + pacing overhead
Audio Output Tokens per Session,=B24*250,=C24*250,=D24*250,Spoken seconds * 250 tokens/sec
Audio Output Cost (USD),=B25*B11,=C25*C11,=D25*D11,Tokens * Audio Output Rate
Transcription Text Output (Tokens),=(B23*2.2)*1.33,=(C23*2.2)*1.33,=(D23*2.2)*1.33,(Spoken + Translated words) * 1.33 tokens/word
Transcription Text Cost (USD),=B27*B13,=C27*C13,=D27*D13,Tokens * Text Output Rate
Total Session Cost (USD),=B20+B22+B26+B28,=C20+C22+C26+C28,=D20+D22+D26+D28,Sum of all sub-costs
Total Session Cost (AUD),=B29*$B$4,=C29*$B$4,=D29*$B$4,USD Cost * Exchange Rate
,,,,
## SECTION 4: VOLUME PROJECTION CALCULATOR,,,,
Volume / Projections,Approach A: Native 3.5,Approach B: 3.1 Flash Prompt-driven,Approach C: 2.5 Flash Prompt-driven,Notes
Weekly Cost (USD),=B29*$B$6,=C29*$B$6,=D29*$B$6,Sessions/Week * Session Cost
Weekly Cost (AUD),=B30*$B$6,=C30*$B$6,=D30*$B$6,Weekly USD * Exchange Rate
Monthly Cost (USD),=B34*4.33,=C34*4.33,=D34*4.33,Weekly Cost * 4.33 weeks/month
Monthly Cost (AUD),=B35*4.33,=C35*4.33,=D35*4.33,Monthly USD * Exchange Rate
Annual Cost (USD),=B34*52,=C34*52,=D34*52,Weekly Cost * 52 weeks
Annual Cost (AUD),=B35*52,=C35*52,=D35*52,Annual USD * Exchange Rate
